AreaCode,Height,Siblings,Handedness,Apps,AgeInMonths,Movie,Major,Year
512,170,1,Right-handed,50,246,Primate,Engineering Science,Junior
310,188,2,Right-handed,84,252,Oppenheimer,Engineering Science,Junior
970,162.5,1,Ambidextrous,75,250,Avatar,Engineering Science,Junior
469,180.39,1,Right-handed,67,258,Batman,Engineering Science,Junior
254,183,1,Left-handed,103,256,Marty Supreme,Engineering Science,Junior
512,185,4,Right-handed,135,242,The Housewife,Engineering Science,Sophomore
512,180,2,Left-handed,118,246,Avatar Fire and Ash,Engineering Science,Junior
78237,172.72,3,Left-handed,70,248,Five Nights at Freddy's 2,Engineering Science,Junior
737,190.5,1,Right-handed,111,251,Fly Me To The Moon,Engineering Science,Junior
909,165.1,1,Right-handed,114,250,Now you see me,Engineering Science,Junior
817,175.26,1,Right-handed,35,239,Zootopia 2,Engineering Science,Sophomore
321,177,2,Right-handed,60,252,Superman,Engineering Science,Junior
512,168,1,Right-handed,110,254,Avatar: Fire and Ash,Engineering Science,Junior
512,180,4,Right-handed,75,258,Minecraft Movie,Computer Science,Senior
713,173,3,Right-handed,150,277,Avatar Fire,Engineering Science,Senior
210,185.42,2,Left-handed,121,246,Minecraft Movie,Engineering Science,Junior
951,182,2,Right-handed,162,236,A Minecraft Movie,Engineering Science,Sophomore
720,172,1,Right-handed,47,242,Zootopia 2,Engineering Science,Sophomore
832,160,2,Right-handed,102,235,Kung Fu Panda 4,Engineering Science,Sophomore
713,168,3,Right-handed,84,266,The Naked Gun,Engineering Science,Senior
409,155,0,Right-handed,123,265,We Bury the Dead,Neuroscience,Senior
